,text,intent,slots,pattern_id
80,باباغوری,offensive,o,3000080
81,ببند دهنتو,offensive,o o,3000081
82,ببند گاله رو,offensive,o o o,3000082
83,ببندش,offensive,o,3000083
84,ببو,offensive,o,3000084
85,بتمرگ,offensive,o,3000085
86,بچه باز,offensive,o o,3000086
87,بچه صیغه‌ای,offensive,o o,3000087
88,بچه کونی,offensive,o o,3000088
89,بچه‌باز,offensive,o,3000089
90,بدجنس,offensive,o,3000090
91,بدذات,offensive,o,3000091
92,بدقلق,offensive,o,3000092
93,برم ترتیبشو بدم,offensive,o o o,3000093
94,برم ترتیبشونو بدم,offensive,o o o,3000094
95,برو با,offensive,o o,3000095
96,برو بابا,offensive,o o,3000096
97,برو بابا ببینم,offensive,o o o,3000097
98,برو ببینم,offensive,o o,3000098
99,برو بمیر,offensive,o o,3000099
100,برو به جهنم,offensive,o o o,3000100
101,برو بینم,offensive,o o,3000101
102,برو تو کونم,offensive,o o o,3000102
103,برو گم شو,offensive,o o o,3000103
104,برو گمشو,offensive,o o,3000104
105,بروح اون پدرت شاشیدم,offensive,o o o o,3000105
106,بروح پدرت شاشیدم,offensive,o o o,3000106
107,بروح جد و آبادت ریدم,offensive,o o o o o,3000107
108,بروح جد و آبادت لعنت,offensive,o o o o o,3000108
109,بروح جد و آبادتون ریدم,offensive,o o o o o,3000109
110,بروح جد و آبادتون لعنت,offensive,o o o o o,3000110
111,بروح جد و آبادش ریدم,offensive,o o o o o,3000111
112,بروح جد و آبادش لعنت,offensive,o o o o o,3000112
113,بروح جد و آبادشون ریدم,offensive,o o o o o,3000113
114,بروح جد و آبادشون لعنت,offensive,o o o o o,3000114
115,بروح هر کس و کارت لعنت,offensive,o o o o o o,3000115
116,بروح هر کس و کارش لعنت,offensive,o o o o o o,3000116
117,بروح هر کس و ناکست لعنت,offensive,o o o o o o,3000117
118,بروح هر کس و ناکسش لعنت,offensive,o o o o o o,3000118
119,بروح هرکس و شون لعنت,offensive,o o o o o,3000119
120,بروح هرکس و کارتون لعنت,offensive,o o o o o,3000120
121,بروح هرکس و کارشون لعنت,offensive,o o o o o,3000121
122,بروح هرکس و ناکستون لعنت,offensive,o o o o o,3000122
123,بزغاله,offensive,o,3000123
124,بزمجه,offensive,o,3000124
125,بکنمت,offensive,o,3000125
126,بگامت,offensive,o,3000126
127,بگامتون,offensive,o,3000127
128,بگامش,offensive,o,3000128
129,بگامشون,offensive,o,3000129
130,بلغور نکن,offensive,o o,3000130
131,بلغور نکنین,offensive,o o,3000131
132,بمیر,offensive,o,3000132
133,بمیری,offensive,o,3000133
134,بمیری الهی,offensive,o o,3000134
135,بمیری ایشالله,offensive,o o,3000135
136,بمیرید,offensive,o,3000136
137,بمیرید الهی,offensive,o o,3000137
138,بمیرید ایشالله,offensive,o o,3000138
139,بمیرین,offensive,o,3000139
140,بمیرین الهی,offensive,o o,3000140
141,بمیرین ایشالله,offensive,o o,3000141
142,بنال,offensive,o,3000142
143,بنجل,offensive,o,3000143
144,به تخم چپ بچم,offensive,o o o o,3000144
145,به تخم چپم,offensive,o o o,3000145
146,به تخمم,offensive,o o,3000146
147,به تخممون,offensive,o o,3000147
148,به جهنم,offensive,o o,3000148
149,به درک,offensive,o o,3000149
150,به درک اسفل‌السافلین,offensive,o o o,3000150
151,به روح اون پدرت شاشیدم,offensive,o o o o o,3000151
152,به روح اون پدرتون شاشیدم,offensive,o o o o o,3000152
153,به روح اون پدرش شاشیدم,offensive,o o o o o,3000153
154,به روح اون پدرشون شاشیدم,offensive,o o o o o,3000154
155,به روح بابا و ننه‌ات صلوات,offensive,o o o o o o,3000155
156,به روح بابا و ننه‌ات لعنت,offensive,o o o o o o,3000156
157,به روح بابا و ننه‌اش صلوات,offensive,o o o o o o,3000157
158,به روح بابا و ننه‌اش لعنت,offensive,o o o o o o,3000158
159,به روح بابا و ننه‌ت صلوات,offensive,o o o o o o,3000159
160,به روح بابا و ننه‌ت لعنت,offensive,o o o o o o,3000160
161,به روح بابا و ننه‌تون صلوات,offensive,o o o o o o,3000161
162,به روح بابا و ننه‌تون لعنت,offensive,o o o o o o,3000162
163,به روح بابا و ننه‌ش صلوات,offensive,o o o o o o,3000163
164,به روح بابا و ننه‌ش لعنت,offensive,o o o o o o,3000164
165,به روح بابا و ننه‌شون صلوات,offensive,o o o o o o,3000165
166,به روح بابا و ننه‌شون لعنت,offensive,o o o o o o,3000166
167,به روح پدرت شاشیدم,offensive,o o o o,3000167
168,به روح پدرتون شاشیدم,offensive,o o o o,3000168
169,به روح پدرش شاشیدم,offensive,o o o o,3000169
170,به روح پدرشون شاشیدم,offensive,o o o o,3000170
171,به روح جد و آبادت ریدم,offensive,o o o o o o,3000171
172,به روح جد و آبادت صلوات,offensive,o o o o o o,3000172
173,به روح جد و آبادت لعنت,offensive,o o o o o o,3000173
174,به روح جد و آبادتون ریدم,offensive,o o o o o o,3000174
175,به روح جد و آبادتون صلوات,offensive,o o o o o o,3000175
176,به روح جد و آبادتون لعنت,offensive,o o o o o o,3000176
177,به روح جد و آبادش ریدم,offensive,o o o o o o,3000177
178,به روح جد و آبادش صلوات,offensive,o o o o o o,3000178
179,به روح جد و آبادش لعنت,offensive,o o o o o o,3000179
180,به روح جد و آبادشون صلوات,offensive,o o o o o o,3000180
181,به روح جد و آبادشون لعنت,offensive,o o o o o o,3000181
182,به روح هر کس و کارت لعنت,offensive,o o o o o o o,3000182
183,به روح هر کس و کارش لعنت,offensive,o o o o o o o,3000183
184,به روح هر کس و ناکست لعنت,offensive,o o o o o o o,3000184
185,به روح هر کس و ناکسش لعنت,offensive,o o o o o o o,3000185
186,به روح هرکس و کارتون لعنت,offensive,o o o o o o,3000186
187,به روح هرکس و کارشون لعنت,offensive,o o o o o o,3000187
188,به روح هرکس و ناکستون لعنت,offensive,o o o o o o,3000188
189,به روح هرکس و ناکسشون لعنت,offensive,o o o o o o,3000189
190,به ریش بابات خندیدی,offensive,o o o o,3000190
191,به ریش باباتون خندیدیین,offensive,o o o o,3000191
192,به ریش باباش خندیدین,offensive,o o o o,3000192
193,به ریش باباشون خندیدین,offensive,o o o o,3000193
194,به قبر پدرت سگ برینه,offensive,o o o o o,3000194
195,به قبر پدرتون سگ برینه,offensive,o o o o o,3000195
196,به قبر پدرش سگ برینه,offensive,o o o o o,3000196
197,به قبر پدرشون سگ برینه,offensive,o o o o o,3000197
198,به کس ننت,offensive,o o o,3000198
199,به کس ننتون,offensive,o o o,3000199
200,به کس ننش,offensive,o o o,3000200
201,به کس ننشون,offensive,o o o,3000201
202,به کس ننه‌ات,offensive,o o o,3000202
203,به کس ننه‌اش,offensive,o o o,3000203
204,به کله پدرت سگ برینه,offensive,o o o o o,3000204
205,به کله پدرتون سگ برینه,offensive,o o o o o,3000205
206,به کله پدرش سگ برینه,offensive,o o o o o,3000206
207,به کله پدرشون سگ برینه,offensive,o o o o o,3000207
208,به کيرم,offensive,o o,3000208
209,به کيرمون,offensive,o o,3000209
210,بو گندو,offensive,o o,3000210
211,بوزینه,offensive,o,3000211
212,بوگندو,offensive,o,3000212
213,بيلاخ,offensive,o,3000213
214,بی‌آبرو,offensive,o,3000214
215,بیا,offensive,o,3000215
216,بیا منو بکن,offensive,o o o,3000216
217,بی‌ادب,offensive,o,3000217
218,بی‌اصل‌ونسب,offensive,o,3000218
219,بیام ترتیبتو بدم,offensive,o o o,3000219
220,بیام ترتیبتونو بدم,offensive,o o o,3000220
221,بیام ترتیبشو بدم,offensive,o o o,3000221
222,بی‌انصاف,offensive,o,3000222
223,بی‌پدر,offensive,o,3000223
224,بی‌پدر مادر,offensive,o o,3000224
225,بی‌پدر و مادر,offensive,o o o,3000225
226,بی‌پدرومادر,offensive,o,3000226
227,بی‌تربیت,offensive,o,3000227
228,بی‌جربزه,offensive,o,3000228
229,بی‌چشم و رو,offensive,o o o,3000229
230,بی‌چشم‌ورو,offensive,o,3000230
231,بی‌حیا,offensive,o,3000231
232,بی‌حیثیت,offensive,o,3000232
233,بی‌خانواده,offensive,o,3000233
234,بی‌رگ,offensive,o,3000234
235,بی‌رگ و ریشه,offensive,o o o,3000235
236,بی‌رگ‌وریشه,offensive,o,3000236
237,بی‌سر و پا,offensive,o o o,3000237
238,بی‌سروپا,offensive,o,3000238
239,بی‌شرف,offensive,o,3000239
240,بی‌شیله‌پیله,offensive,o,3000240
241,بیشین با,offensive,o o,3000241
242,بیشین با بینم,offensive,o o o,3000242
243,بیشین بابا,offensive,o o,3000243
244,بیشین بابا ببینم,offensive,o o o,3000244
245,بیشین ببینم,offensive,o o,3000245
246,بیشین بینم,offensive,o o,3000246
247,بی‌عرضه,offensive,o,3000247
248,بی‌‌عقل,offensive,o,3000248
249,بی‌غیرت,offensive,o,3000249
250,بی‌قواره,offensive,o,3000250
251,بی‌کس و کار,offensive,o o o,3000251
252,بی‌کس‌وکار,offensive,o,3000252
253,بی‌کلاس,offensive,o,3000253
254,بی‌لیاقت,offensive,o,3000254
255,بی‌ناموس,offensive,o,3000255
256,بی‌نزاکت,offensive,o,3000256
257,بیه,offensive,o,3000257
258,بی‌همه‌چی,offensive,o,3000258
259,بی‌همه‌چیز,offensive,o,3000259
260,بی‌هویت,offensive,o,3000260
261,بی‌وجدان,offensive,o,3000261
262,پارت کنم؟,offensive,o o,3000262
263,پارش کنم؟,offensive,o o,3000263
264,پپه,offensive,o,3000264
265,پتیاره,offensive,o,3000265
266,پخمه,offensive,o,3000266
267,پدرسگ,offensive,o,3000267
268,پدرسوخته,offensive,o,3000268
269,پدرصلواتی,offensive,o,3000269
270,پررو,offensive,o,3000270
271,پست,offensive,o,3000271
272,پست‌فطرت,offensive,o,3000272
273,پشکل,offensive,o,3000273
274,پشم کون,offensive,o o,3000274
275,پشندی,offensive,o,3000275
276,پفيوز,offensive,o,3000276
277,تا کونت بسوزه,offensive,o o o,3000277
278,تا کونتون بسوزه,offensive,o o o,3000278
279,تا کونش بسوزه,offensive,o o o,3000279
280,تا کونشون بسوزه,offensive,o o o,3000280
281,تاپاله,offensive,o,3000281
282,تخم جن,offensive,o o,3000282
283,تخم خر,offensive,o o,3000283
284,تخم سگ,offensive,o o,3000284
285,تخمی,offensive,o,3000285
286,ترتیبتو می‌دم,offensive,o o,3000286
287,ترتیبتونو می‌دم,offensive,o o,3000287
288,ترتیبشو می‌دم,offensive,o o,3000288
289,ترتیبشونو می‌دم,offensive,o o,3000289
290,ترکمون,offensive,o,3000290
291,ترکمون زد,offensive,o o,3000291
292,ترکمون زدی,offensive,o o,3000292
293,ترکمون زدید,offensive,o o,3000293
294,ترکمون زدین,offensive,o o,3000294
295,تریاکی,offensive,o,3000295
296,تف تو روح بابا ننه‌ات,offensive,o o o o o,3000296
297,تف تو روح بابا ننه‌اش,offensive,o o o o o,3000297
298,تف تو روح بابا ننه‌تون,offensive,o o o o o,3000298
299,تف تو روح بابا ننه‌شون,offensive,o o o o o,3000299
300,تف تو روح بابا و ننه‌ات,offensive,o o o o o o,3000300
301,تف تو روح بابا و ننه‌اش,offensive,o o o o o o,3000301
302,تف تو روح بابا و ننه‌تون,offensive,o o o o o o,3000302
303,تف تو روح بابا و ننه‌شون,offensive,o o o o o o,3000303
304,تف تو روح جد و آبادت,offensive,o o o o o o,3000304
305,تف تو روح جد و آبادتون,offensive,o o o o o o,3000305
306,تف تو روح جد و آبادش,offensive,o o o o o o,3000306
307,تف تو روح جد و آبادشون,offensive,o o o o o o,3000307
308,تف تو روح هر کس و کارت,offensive,o o o o o o o,3000308
309,تف تو روح هر کس و کارتون,offensive,o o o o o o o,3000309
310,تف تو روح هر کس و کارش,offensive,o o o o o o o,3000310
311,تف تو روح هر کس و کارشون,offensive,o o o o o o o,3000311
312,تف تو روح هر کس و ناکست,offensive,o o o o o o o,3000312
313,تف تو روح هر کس و ناکستون,offensive,o o o o o o o,3000313
314,تف تو روح هر کس و ناکسش,offensive,o o o o o o o,3000314
315,تف تو روح هر کس و ناکسشون,offensive,o o o o o o o,3000315
316,تف تو روحت,offensive,o o o,3000316
317,تف تو روحتون,offensive,o o o,3000317
318,تف تو روحش,offensive,o o o,3000318
319,تف تو روحشون,offensive,o o o,3000319
320,تنبل,offensive,o,3000320
321,تو روح بابا و ننتون ریدم,offensive,o o o o o o,3000321
322,تو روح بابا و ننشون ریدم,offensive,o o o o o o,3000322
323,تو روح بابا و ننه‌ات,offensive,o o o o o,3000323
324,تو روح بابا و ننه‌ات ریدم,offensive,o o o o o o,3000324
325,تو روح بابا و ننه‌اش ریدم,offensive,o o o o o o,3000325
326,تو روح بابا و ننه‌ت ریدم,offensive,o o o o o o,3000326
327,تو روح بابا و ننه‌ش ریدم,offensive,o o o o o o,3000327
328,تو روح بابات,offensive,o o o,3000328
329,تو روح جد و آبادت,offensive,o o o o o,3000329
330,تو روح جد و آبادت ریدم,offensive,o o o o o o,3000330
331,تو روح جد و آبادتون ریدم,offensive,o o o o o o,3000331
332,تو روح جد و آبادش ریدم,offensive,o o o o o o,3000332
333,تو روح جد و آبادشون ریدم,offensive,o o o o o o,3000333
334,تو روح ننه و بابات,offensive,o o o o o,3000334
335,تو روح ننه و باباتون,offensive,o o o o o,3000335
336,تو روح ننه و باباش,offensive,o o o o o,3000336
337,تو روح ننه و باباشون,offensive,o o o o o,3000337
338,تو روح هر کس و کارت ریدم,offensive,o o o o o o o,3000338
339,تو روح هر کس و کارتون ریدم,offensive,o o o o o o o,3000339
340,تو روح هر کس و کارش ریدم,offensive,o o o o o o o,3000340
341,تو روح هر کس و کارشون ریدم,offensive,o o o o o o o,3000341
342,تو روح هر کس و ناکست ریدم,offensive,o o o o o o o,3000342
343,تو روح هر کس و ناکستون ریدم,offensive,o o o o o o o,3000343
344,تو روح هر کس و ناکسش ریدم,offensive,o o o o o o o,3000344
345,تو روح هر کس و ناکسشون ریدم,offensive,o o o o o o o,3000345
346,تو روحت,offensive,o o,3000346
347,تو روحت ریدم,offensive,o o o,3000347
348,تو روحت سگ برینه,offensive,o o o o,3000348
349,تو روحتون ,offensive,o o,3000349
350,تو روحتون ریدم,offensive,o o o,3000350
351,تو روحتون سگ برینه,offensive,o o o o,3000351
352,تو روحش,offensive,o o,3000352
353,تو روحش ریدم,offensive,o o o,3000353
354,تو روحش سگ برینه,offensive,o o o o,3000354
355,تو روحشون,offensive,o o,3000355
356,تو روحشون ریدم,offensive,o o o,3000356
357,تو روحشون سگ برینه,offensive,o o o o,3000357
358,توله سگ,offensive,o o,3000358
359,جاکش,offensive,o,3000359
360,جغله,offensive,o,3000360
361,جغی,offensive,o,3000361
362,جلق‌زن,offensive,o,3000362
363,جنده,offensive,o,3000363
364,جنده‌باز,offensive,o,3000364
365,جواد,offensive,o,3000365
366,جون بکن,offensive,o o,3000366
367,جونم مرگ‌شده,offensive,o o,3000367
368,جیگر,offensive,o,3000368
369,چاپلوس,offensive,o,3000369
370,چاییدی,offensive,o,3000370
371,چس,offensive,o,3000371
372,چس دماغ,offensive,o o,3000372
373,چس‌خور,offensive,o,3000373
374,چسم تو دهنت,offensive,o o o,3000374
375,چسو,offensive,o,3000375
376,چش‌چرون,offensive,o,3000376
377,چشمت کور,offensive,o o,3000377
378,چشمت کور دندت نرم,offensive,o o o o,3000378
379,چشمتون کور دندتون نرم,offensive,o o o o,3000379
380,چشم‌چرون,offensive,o,3000380
381,چشم‌درآمده,offensive,o,3000381
382,چشم‌دراومده,offensive,o,3000382
383,چشم‌دریده,offensive,o,3000383
384,چشم‌سفید,offensive,o,3000384
385,چشمش کور دندش نرم,offensive,o o o o,3000385
386,چشمشون کور دندشون نرم,offensive,o o o o,3000386
387,چقدر خری,offensive,o o,3000387
388,چلاق,offensive,o,3000388
389,چلمن,offensive,o,3000389
390,چلمنگ,offensive,o,3000390
391,چموش,offensive,o,3000391
392,چه غلطی می‌کنه؟,offensive,o o o,3000392
393,چه غلطی می‌کنی؟,offensive,o o o,3000393
394,چه غلطی می‌کنید؟,offensive,o o o,3000394
395,چه غلطی می‌کنین؟,offensive,o o o,3000395
396,چه گهی خورد؟,offensive,o o o,3000396
397,چه گهی خوردن؟,offensive,o o o,3000397
398,چه گهی خوردی؟,offensive,o o o,3000398
399,چه گهی خوردین؟,offensive,o o o,3000399
400,چه گهی می‌خوردی؟,offensive,o o o,3000400
401,چه گهی می‌خورن؟,offensive,o o o,3000401
402,چه گهی می‌خوره؟,offensive,o o o,3000402
403,چه گهی می‌خورین؟,offensive,o o o,3000403
404,حرامزاده,offensive,o,3000404
405,حرام‌لقمه,offensive,o,3000405
406,حرف مفت زن,offensive,o o o,3000406
407,حرف مفت نزن,offensive,o o o,3000407
408,حرومزاده,offensive,o,3000408
409,حشری,offensive,o,3000409
410,حقه‌باز,offensive,o,3000410
411,حمال,offensive,o,3000411
412,حیف نون,offensive,o o,3000412
413,خار آدمو می‌گاد,offensive,o o o,3000413
414,خارتو گائیدم,offensive,o o,3000414
415,خارتو گاییدم,offensive,o o,3000415
416,خارتونو گائیدم,offensive,o o,3000416
417,خارتونو گاییدم,offensive,o o,3000417
418,خارجنده,offensive,o,3000418
419,خارشو گائیدم,offensive,o o,3000419
420,خارشو گاییدم,offensive,o o,3000420
421,خارشونو گائیدم,offensive,o o,3000421
422,خارشونو گاییدم,offensive,o o,3000422
423,خارکسده,offensive,o,3000423
424,خارکسه,offensive,o,3000424
425,خاک بر سر,offensive,o o o,3000425
426,خاک بر سرت,offensive,o o o,3000426
427,خاک بر سرتون,offensive,o o o,3000427
428,خاک بر سرش,offensive,o o o,3000428
429,خاک بر سرشون,offensive,o o o,3000429
430,خاک بر سرم,offensive,o o o,3000430
431,خاک بر سرمون,offensive,o o o,3000431
432,خاک عالم بر سرت,offensive,o o o o,3000432
433,خاک عالم بر سرت کنن,offensive,o o o o o,3000433
434,خاک عالم بر سرتون,offensive,o o o o,3000434
435,خاک عالم بر سرتون کنن,offensive,o o o o o,3000435
436,خاک عالم بر سرش,offensive,o o o o,3000436
437,خاک عالم بر سرش کنن,offensive,o o o o o,3000437
438,خاک عالم بر سرشون,offensive,o o o o,3000438
439,خاک عالم بر سرشون کنن,offensive,o o o o o,3000439
440,خاک عالم بر سرم,offensive,o o o o,3000440
441,خاک عالم بر سرم کنن,offensive,o o o o o,3000441
442,خاک عالم بر سرمون,offensive,o o o o,3000442
443,خاک عالم بر سرمون کنن,offensive,o o o o o,3000443
444,خاک عالم به سرت,offensive,o o o o,3000444
445,خاک عالم به سرت کنن,offensive,o o o o o,3000445
446,خاک عالم به سرتون,offensive,o o o o,3000446
447,خاک عالم به سرتون کنن,offensive,o o o o o,3000447
448,خاک عالم به سرش,offensive,o o o o,3000448
449,خاک عالم به سرش کنن,offensive,o o o o o,3000449
450,خاک عالم به سرشون,offensive,o o o o,3000450
451,خاک عالم به سرشون کنن,offensive,o o o o o,3000451
452,خاک عالم به سرم,offensive,o o o o,3000452
453,خاک عالم به سرم کنن,offensive,o o o o o,3000453
454,خاک عالم به سرمون,offensive,o o o o,3000454
455,خاک عالم به سرمون کنن,offensive,o o o o o,3000455
456,خاک عالم تو سرت,offensive,o o o o,3000456
457,خاک عالم تو سرت کنن,offensive,o o o o o,3000457
458,خاک عالم تو سرتون,offensive,o o o o,3000458
459,خاک عالم تو سرتون کنن,offensive,o o o o o,3000459
460,خاک عالم تو سرش,offensive,o o o o,3000460
461,خاک عالم تو سرش کنن,offensive,o o o o o,3000461
462,خاک عالم تو سرشون,offensive,o o o o,3000462
463,خاک عالم تو سرشون کنن,offensive,o o o o o,3000463
464,خاک عالم تو سرم,offensive,o o o o,3000464
465,خاک عالم تو سرم کنن,offensive,o o o o o,3000465
466,خاک عالم تو سرمون,offensive,o o o o,3000466
467,خاک عالم تو سرمون کنن,offensive,o o o o o,3000467
468,خالی بند,offensive,o o,3000468
469,خايه,offensive,o,3000469
470,خایه مال,offensive,o o,3000470
471,خر,offensive,o,3000471
472,خر شدی؟,offensive,o o,3000472
473,خر کس ننت گذاشته,offensive,o o o o,3000473
474,خر کس ننتون گذاشته,offensive,o o o o,3000474
475,خر کس ننش گذاشته,offensive,o o o o,3000475
476,خر کس ننشون گذاشته,offensive,o o o o,3000476
477,خر کس ننه‌ات گذاشته,offensive,o o o o,3000477
478,خر کس ننه‌اش گذاشته,offensive,o o o o,3000478
479,خرس,offensive,o,3000479
480,خرفت,offensive,o,3000480
481,خرمگس,offensive,o,3000481
482,خریت,offensive,o,3000482
483,خزبازی در نیار,offensive,o o o,3000483
484,خفه,offensive,o,3000484
485,خفه شو,offensive,o o,3000485
486,خفه کار کن,offensive,o o o,3000486
487,خفه‌خون بگیر,offensive,o o,3000487
488,خل,offensive,o,3000488
489,خل وضع,offensive,o o,3000489
490,خنگ,offensive,o,3000490
491,خنگ خدا,offensive,o o,3000491
492,خنگول,offensive,o,3000492
493,خواهر آدمو می‌گاد,offensive,o o o,3000493
494,خواهر آدمو می‌گاین,offensive,o o o,3000494
495,خواهر آدمو می‌گایید,offensive,o o o,3000495
496,خواهرتو گائیدم,offensive,o o,3000496
497,خواهرتو گاییدم,offensive,o o,3000497
498,خواهرتونو گائیدم,offensive,o o,3000498
499,خواهرتونو گاییدم,offensive,o o,3000499
500,خواهرجنده,offensive,o,3000500
501,خواهرشو گائیدم,offensive,o o,3000501
502,خواهرشو گاییدم,offensive,o o,3000502
503,خواهرشونو گائیدم,offensive,o o,3000503
504,خواهرشونو گاییدم,offensive,o o,3000504
505,خواهرکسده,offensive,o,3000505
506,خوایه,offensive,o,3000506
507,خوایه‌مال,offensive,o,3000507
508,خودتونید و هر کس و ناکستون,offensive,o o o o o o,3000508
509,خودتونین,offensive,o,3000509
510,خودتونین و جد و آبادتون,offensive,o o o o o,3000510
511,خودتونین و هر کس و کارتون,offensive,o o o o o o,3000511
512,خودتی,offensive,o,3000512
513,خودتی و جد و آبادت,offensive,o o o o o,3000513
514,خودتی و هر کس و کارت,offensive,o o o o o o,3000514
515,خودتی و هر کس و ناکست,offensive,o o o o o o,3000515
516,خودشه,offensive,o,3000516
517,خودشه و جد و آبادش,offensive,o o o o o,3000517
518,خودشه و هر کس و کارش,offensive,o o o o o o,3000518
519,خودشه و هر کس و ناکسش,offensive,o o o o o o,3000519
520,خودشونن,offensive,o,3000520
521,خودشونن و جد و آبادشون,offensive,o o o o o,3000521
522,خودشونن و هر کس و کارشون,offensive,o o o o o o,3000522
523,خودشونه و هر کس و کارشون,offensive,o o o o o o,3000523
524,خودشونه و هر کس و ناکسشون,offensive,o o o o o o,3000524
525,خیر ندیده,offensive,o o,3000525
526,خیرندیده,offensive,o,3000526
527,خیکی,offensive,o,3000527
528,خیلی مردی,offensive,o o,3000528
529,دارن گه زیادی می‌خورن,offensive,o o o o,3000529
530,داره گه زیادی می‌خوره,offensive,o o o o,3000530
531,داری گه زیادی می‌خوری,offensive,o o o o,3000531
532,دارین گه زیادی می‌‌‌خورین,offensive,o o o o,3000532
533,درد,offensive,o,3000533
534,دروغگو,offensive,o,3000534
535,دزد,offensive,o,3000535
536,دستمال به دست,offensive,o o o,3000536
537,دستمال‌کش,offensive,o,3000537
538,دغل,offensive,o,3000538
539,دغل‌باز,offensive,o,3000539
540,دقل,offensive,o,3000540
541,دکل,offensive,o,3000541
542,دله,offensive,o,3000542
543,دله دزد,offensive,o o,3000543
544,دماغو,offensive,o,3000544
545,دندت نرم,offensive,o o,3000545
546,دهنت رو بگام,offensive,o o o,3000546
547,دهنت رو گائيدم,offensive,o o o,3000547
548,دهنت رو گایيدم,offensive,o o o,3000548
549,دهنت رو می‌گام,offensive,o o o,3000549
550,دهنت سرویس,offensive,o o,3000550
